ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000013441	protein_coding	CLK1	41.85	89	61
ENSG00000013561	protein_coding	RNF14	42.05	910	444
ENSG00000013583	protein_coding	HEBP1	43.51	216	138
ENSG00000014641	protein_coding	MDH1	38.05	2435	634
ENSG00000014824	protein_coding	SLC30A9	36.97	378	269
ENSG00000015171	protein_coding	ZMYND11	37.8	295	245
ENSG00000015479	protein_coding	MATR3	38.77	614	382
ENSG00000015532	protein_coding	XYLT2	56.47	51	18
ENSG00000015592	protein_coding	STMN4	48.03	1478	529
ENSG00000015676	protein_coding	NUDCD3	44.47	498	342
ENSG00000017260	protein_coding	ATP2C1	37.56	544	331
ENSG00000017427	protein_coding	IGF1	39.7	365	258
ENSG00000017797	protein_coding	RALBP1	41.37	720	420
ENSG00000018189	protein_coding	RUFY3	39.9	667	403
ENSG00000018236	protein_coding	CNTN1	35.21	718	356
ENSG00000018625	protein_coding	ATP1A2	50.38	57	34
ENSG00000019144	protein_coding	PHLDB1	54.3	189	98
ENSG00000019505	protein_coding	SYT13	46.29	389	251
ENSG00000019995	protein_coding	ZRANB1	39.68	165	142
ENSG00000020129	protein_coding	NCDN	57.71	1599	573
ENSG00000020577	protein_coding	SAMD4A	43.1	106	72
ENSG00000021300	protein_coding	PLEKHB1	52.94	299	103
ENSG00000022267	protein_coding	FHL1	42.07	199	170
ENSG00000022355	protein_coding	GABRA1	34.99	839	420
ENSG00000022840	protein_coding	RNF10	45.25	418	323
ENSG00000023171	protein_coding	GRAMD1B	45.8	275	216
ENSG00000023191	protein_coding	RNH1	60.36	130	89
ENSG00000023287	protein_coding	RB1CC1	37.73	298	222
ENSG00000023516	protein_coding	AKAP11	36.45	528	348
ENSG00000023572	protein_coding	GLRX2	39.59	479	337
ENSG00000023734	protein_coding	STRAP	36.48	343	264
ENSG00000023902	protein_coding	PLEKHO1	51.63	277	209
ENSG00000023909	protein_coding	GCLM	36.37	232	198
ENSG00000025293	protein_coding	PHF20	44.08	266	220
ENSG00000025772	protein_coding	TOMM34	44.95	113	68
ENSG00000025796	protein_coding	SEC63	39.82	96	70
ENSG00000026652	protein_coding	AGPAT4	45.36	487	329
ENSG00000027697	protein_coding	IFNGR1	38.81	159	79
ENSG00000028203	protein_coding	VEZT	38.6	249	198
ENSG00000028310	protein_coding	BRD9	55.12	293	234
ENSG00000029363	protein_coding	BCLAF1	35.59	294	232
ENSG00000029725	protein_coding	RABEP1	41.34	371	261
ENSG00000030582	protein_coding	GRN	57.73	196	133
ENSG00000031698	protein_coding	SARS	43.12	600	378
ENSG00000032219	protein_coding	ARID4A	37.46	240	186
ENSG00000033122	protein_coding	LRRC7	35.36	157	117
ENSG00000033627	protein_coding	ATP6V0A1	45.47	640	395
ENSG00000034053	protein_coding	APBA2	48.63	404	296
ENSG00000034713	protein_coding	GABARAPL2	47.12	1326	578
ENSG00000035141	protein_coding	FAM136A	48.46	229	190
ENSG00000035687	protein_coding	ADSS	38.09	150	126
ENSG00000035862	protein_coding	TIMP2	52.6	806	357
ENSG00000035928	protein_coding	RFC1	39.26	118	88
ENSG00000036257	protein_coding	CUL3	37.23	187	148
ENSG00000036530	protein_coding	CYP46A1	47.29	552	358
ENSG00000038002	protein_coding	AGA	39.69	62	30
ENSG00000038219	protein_coding	BOD1L1	38.88	427	303
ENSG00000038274	protein_coding	MAT2B	38.26	372	273
ENSG00000038382	protein_coding	TRIO	43.38	192	161
ENSG00000040341	protein_coding	STAU2	38.25	436	293
ENSG00000040933	protein_coding	INPP4A	47.33	195	159
ENSG00000041353	protein_coding	RAB27B	37.74	432	267
ENSG00000041357	protein_coding	PSMA4	42.32	405	267
ENSG00000041988	protein_coding	THAP3	56.77	214	163
ENSG00000042753	protein_coding	AP2S1	52.87	962	507
ENSG00000043093	protein_coding	DCUN1D1	39.56	206	179
ENSG00000044574	protein_coding	HSPA5	44.05	321	246
ENSG00000046653	protein_coding	GPM6B	41.49	866	311
ENSG00000047056	protein_coding	WDR37	45.48	187	149
ENSG00000047249	protein_coding	ATP6V1H	39.2	237	183
ENSG00000047410	protein_coding	TPR	34.16	389	281
ENSG00000047849	protein_coding	MAP4	43.43	546	324
ENSG00000047932	protein_coding	GOPC	36.66	52	46
ENSG00000048140	protein_coding	TSPAN17	58.7	252	176
ENSG00000048162	protein_coding	NOP16	49.33	104	79
ENSG00000048544	protein_coding	MRPS10	41.02	356	267
ENSG00000048740	protein_coding	CELF2	41.91	916	455
ENSG00000048991	protein_coding	R3HDM1	37.98	370	249
ENSG00000049759	protein_coding	NEDD4L	43.38	212	171
ENSG00000049860	protein_coding	HEXB	42.11	1623	111
ENSG00000050130	protein_coding	JKAMP	36.78	321	245
ENSG00000050438	protein_coding	SLC4A8	42.72	169	136
ENSG00000050748	protein_coding	MAPK9	43.58	394	288
ENSG00000051108	protein_coding	HERPUD1	42.95	197	158
ENSG00000051523	protein_coding	CYBA	61.63	193	67
ENSG00000051596	protein_coding	THOC3	43.01	196	126
ENSG00000052802	protein_coding	MSMO1	37	196	144
ENSG00000053438	protein_coding	NNAT	54.16	29	15
ENSG00000053501	protein_coding	USE1	55.26	817	458
ENSG00000054116	protein_coding	TRAPPC3	49.8	365	278
ENSG00000054118	protein_coding	THRAP3	43.71	205	168
ENSG00000054148	protein_coding	PHPT1	66.23	548	367
ENSG00000054267	protein_coding	ARID4B	39.95	275	226
ENSG00000054356	protein_coding	PTPRN	53.59	1334	553
ENSG00000054523	protein_coding	KIF1B	41.99	1655	658
ENSG00000054690	protein_coding	PLEKHH1	48.02	140	77
ENSG00000054793	protein_coding	ATP9A	46.63	686	382
ENSG00000054803	protein_coding	CBLN4	44	37	23
ENSG00000054965	protein_coding	FAM168A	41.55	539	363
ENSG00000055130	protein_coding	CUL1	41.21	429	315
ENSG00000055147	protein_coding	FAM114A2	37.35	191	163
ENSG00000055163	protein_coding	CYFIP2	44.29	792	433
ENSG00000055609	protein_coding	KMT2C	38.65	200	154
ENSG00000055917	protein_coding	PUM2	37.42	284	217
ENSG00000055950	protein_coding	MRPL43	53.18	510	321
ENSG00000056097	protein_coding	ZFR	38.32	546	361
ENSG00000056586	protein_coding	RC3H2	40.51	134	119
ENSG00000057608	protein_coding	GDI2	43.74	463	315
ENSG00000057704	protein_coding	TMCC3	43.11	220	142
ENSG00000057757	protein_coding	PITHD1	44.53	346	252
ENSG00000058091	protein_coding	CDK14	37.97	295	195
ENSG00000058262	protein_coding	SEC61A1	47.3	203	162
ENSG00000058335	protein_coding	RASGRF1	49.95	415	280
ENSG00000058404	protein_coding	CAMK2B	55.17	714	413
ENSG00000058866	protein_coding	DGKG	44.7	320	219
ENSG00000059804	protein_coding	SLC2A3	44.55	260	196
ENSG00000059915	protein_coding	PSD	59.67	244	192
ENSG00000060237	protein_coding	WNK1	38.73	452	302
ENSG00000060339	protein_coding	CCAR1	41.75	134	106
ENSG00000060709	protein_coding	RIMBP2	48.94	590	360
ENSG00000060982	protein_coding	BCAT1	40.01	248	198
ENSG00000061676	protein_coding	NCKAP1	35.82	484	330
ENSG00000061987	protein_coding	MON2	36.21	219	153
ENSG00000062194	protein_coding	GPBP1	40.02	296	237
ENSG00000062485	protein_coding	CS	46.15	314	225
ENSG00000062582	protein_coding	MRPS24	50.93	910	473
ENSG00000062716	protein_coding	VMP1	39.75	481	297
ENSG00000062725	protein_coding	APPBP2	39.71	325	255
ENSG00000063015	protein_coding	SEZ6	54.21	287	196
ENSG00000063046	protein_coding	EIF4B	42.8	334	253
ENSG00000063177	protein_coding	RPL18	55.98	1453	635
ENSG00000063180	protein_coding	CA11	53.77	505	341
ENSG00000063245	protein_coding	EPN1	54.85	513	361
ENSG00000063854	protein_coding	HAGH	53.32	422	306
ENSG00000063978	protein_coding	RNF4	47.38	232	179
ENSG00000064042	protein_coding	LIMCH1	40.5	312	224
ENSG00000064419	protein_coding	TNPO3	39.8	245	203
ENSG00000064601	protein_coding	CTSA	56.04	247	192
ENSG00000064651	protein_coding	SLC12A2	35.24	246	145
ENSG00000064726	protein_coding	BTBD1	39.45	362	266
ENSG00000064995	protein_coding	TAF11	41.17	194	159
ENSG00000065000	protein_coding	AP3D1	56.41	169	146
ENSG00000065054	protein_coding	SLC9A3R2	64.6	203	157
ENSG00000065243	protein_coding	PKN2	36.25	138	111
ENSG00000065268	protein_coding	WDR18	62.29	241	195
ENSG00000065491	protein_coding	TBC1D22B	43.34	90	81
ENSG00000065559	protein_coding	MAP2K4	37.09	268	188
ENSG00000065609	protein_coding	SNAP91	36.62	365	252
ENSG00000065665	protein_coding	SEC61A2	43.14	228	192
ENSG00000065978	protein_coding	YBX1	40.63	1103	570
ENSG00000065989	protein_coding	PDE4A	54.53	424	303
ENSG00000066032	protein_coding	CTNNA2	38.65	121	90
ENSG00000066084	protein_coding	DIP2B	41.84	139	108
ENSG00000066117	protein_coding	SMARCD1	48.48	367	287
ENSG00000066322	protein_coding	ELOVL1	58.76	123	79
ENSG00000066382	protein_coding	MPPED2	40.01	128	68
ENSG00000066654	protein_coding	THUMPD1	40.19	117	95
ENSG00000066777	protein_coding	ARFGEF1	38.38	189	152
ENSG00000066933	protein_coding	MYO9A	37.93	154	136
ENSG00000067057	protein_coding	PFKP	51.45	291	200
ENSG00000067082	protein_coding	KLF6	48.08	211	145
ENSG00000067208	protein_coding	EVI5	38.19	237	189
ENSG00000067221	protein_coding	STOML1	52.84	311	235
ENSG00000067225	protein_coding	PKM	48.38	2492	693
ENSG00000067369	protein_coding	TP53BP1	41.72	208	152
ENSG00000067445	protein_coding	TRO	51.41	324	249
ENSG00000067560	protein_coding	RHOA	46.57	309	217
ENSG00000067606	protein_coding	PRKCZ	56.45	276	232
ENSG00000067715	protein_coding	SYT1	35.61	4849	684
ENSG00000067829	protein_coding	IDH3G	58.77	333	258
ENSG00000067836	protein_coding	ROGDI	63.26	510	342
ENSG00000068305	protein_coding	MEF2A	36.86	394	278
ENSG00000068400	protein_coding	GRIPAP1	50.22	315	244
ENSG00000068697	protein_coding	LAPTM4A	41.26	402	288
ENSG00000068745	protein_coding	IP6K2	47.61	342	277
ENSG00000068796	protein_coding	KIF2A	38.86	135	83
ENSG00000068831	protein_coding	RASGRP2	55.63	251	123
ENSG00000068903	protein_coding	SIRT2	53.55	570	261
ENSG00000068912	protein_coding	ERLEC1	38.1	180	152
ENSG00000068971	protein_coding	PPP2R5B	54.41	390	272
ENSG00000069275	protein_coding	NUCKS1	39.53	638	385
ENSG00000069329	protein_coding	VPS35	38.86	255	205
ENSG00000069345	protein_coding	DNAJA2	42.53	372	284
ENSG00000069424	protein_coding	KCNAB2	56.04	316	239
ENSG00000069667	protein_coding	RORA	41.64	707	378
ENSG00000069849	protein_coding	ATP1B3	40.6	484	290
ENSG00000070061	protein_coding	ELP1	39.92	94	70
ENSG00000070087	protein_coding	PFN2	39.59	1413	532
ENSG00000070214	protein_coding	SLC44A1	38.86	218	109
ENSG00000070413	protein_coding	DGCR2	48.62	251	198
ENSG00000070501	protein_coding	POLB	40.44	313	247
ENSG00000070718	protein_coding	AP3M2	41.4	202	166
ENSG00000070756	protein_coding	PABPC1	40.75	411	295
ENSG00000070761	protein_coding	CFAP20	44.82	326	218
ENSG00000070808	protein_coding	CAMK2A	52.11	432	300
ENSG00000070961	protein_coding	ATP2B1	36.37	996	501
ENSG00000071054	protein_coding	MAP4K4	41.04	196	154
ENSG00000071082	protein_coding	RPL31	42.39	2434	714
ENSG00000071127	protein_coding	WDR1	54.98	231	190
ENSG00000071537	protein_coding	SEL1L	38.48	447	294
ENSG00000071553	protein_coding	ATP6AP1	56.75	1028	514
ENSG00000071655	protein_coding	MBD3	58.14	418	298
ENSG00000072062	protein_coding	PRKACA	53.35	727	404
ENSG00000072071	protein_coding	ADGRL1	56.42	951	479
ENSG00000072134	protein_coding	EPN2	48.72	170	139
ENSG00000072364	protein_coding	AFF4	40.42	352	262
ENSG00000072401	protein_coding	UBE2D1	36.06	211	172
ENSG00000072506	protein_coding	HSD17B10	52.02	198	168
ENSG00000072518	protein_coding	MARK2	49.65	72	56
ENSG00000072657	protein_coding	TRHDE	36.14	236	111
ENSG00000072803	protein_coding	FBXW11	39.72	157	125
ENSG00000072832	protein_coding	CRMP1	48.99	338	257
ENSG00000072849	protein_coding	DERL2	41.38	136	93
ENSG00000072954	protein_coding	TMEM38A	49.91	512	348
ENSG00000072958	protein_coding	AP1M1	51.59	123	103
ENSG00000073464	protein_coding	CLCN4	45.24	541	353
ENSG00000073578	protein_coding	SDHA	46.02	606	377
ENSG00000073614	protein_coding	KDM5A	39.44	140	98
ENSG00000073969	protein_coding	NSF	38.62	1506	557
ENSG00000074071	protein_coding	MRPS34	65.4	524	351
ENSG00000074201	protein_coding	CLNS1A	41.76	341	247
ENSG00000074211	protein_coding	PPP2R2C	51.48	639	384
ENSG00000074317	protein_coding	SNCB	56.95	6259	679
ENSG00000074319	protein_coding	TSG101	39.61	344	259
ENSG00000074416	protein_coding	MGLL	44.86	1255	525
ENSG00000074696	protein_coding	HACD3	42.55	182	161
ENSG00000074706	protein_coding	IPCEF1	40.14	112	83
ENSG00000074842	protein_coding	MYDGF	54.74	426	319
ENSG00000075043	protein_coding	KCNQ2	62.3	377	262
ENSG00000075142	protein_coding	SRI	39.53	488	344
ENSG00000075151	protein_coding	EIF4G3	39.36	688	414
ENSG00000075223	protein_coding	SEMA3C	35.82	301	218
ENSG00000075239	protein_coding	ACAT1	43.08	260	215
ENSG00000075292	protein_coding	ZNF638	38.16	226	125
ENSG00000075340	protein_coding	ADD2	44.81	139	113
ENSG00000075415	protein_coding	SLC25A3	42.39	1746	646
ENSG00000075539	protein_coding	FRYL	36.94	275	209
ENSG00000075618	protein_coding	FSCN1	59.62	593	382
ENSG00000075624	protein_coding	ACTB	56.7	2167	711
ENSG00000075785	protein_coding	RAB7A	44.06	1023	551
ENSG00000075914	protein_coding	EXOSC7	46.87	253	191
ENSG00000075945	protein_coding	KIFAP3	34.27	827	440
ENSG00000076043	protein_coding	REXO2	39.61	513	330
ENSG00000076356	protein_coding	PLXNA2	47.99	255	181
ENSG00000076554	protein_coding	TPD52	41.15	321	229
ENSG00000076864	protein_coding	RAP1GAP	56.63	302	227
ENSG00000077063	protein_coding	CTTNBP2	38.77	316	232
ENSG00000077080	protein_coding	ACTL6B	53.08	316	250
ENSG00000077147	protein_coding	TM9SF3	37.03	311	237
ENSG00000077264	protein_coding	PAK3	39.22	486	288
ENSG00000077549	protein_coding	CAPZB	49.21	740	460
ENSG00000077721	protein_coding	UBE2A	40.03	219	176
ENSG00000078018	protein_coding	MAP2	35.9	506	322
ENSG00000078053	protein_coding	AMPH	39.13	296	227
ENSG00000078061	protein_coding	ARAF	51.23	1342	552
ENSG00000078140	protein_coding	UBE2K	41.99	571	388
ENSG00000078295	protein_coding	ADCY2	40.93	149	73
ENSG00000078328	protein_coding	RBFOX1	42.38	510	319
ENSG00000078369	protein_coding	GNB1	46.7	1408	599
ENSG00000078403	protein_coding	MLLT10	39.77	176	145
ENSG00000078549	protein_coding	ADCYAP1R1	51.89	285	211
ENSG00000078618	protein_coding	NRDC	39.35	284	220
ENSG00000078668	protein_coding	VDAC3	40.44	740	417
ENSG00000078674	protein_coding	PCM1	36.54	263	208
ENSG00000078687	protein_coding	TNRC6C	42.22	184	145
ENSG00000078725	protein_coding	BRINP1	40.76	194	155
ENSG00000078804	protein_coding	TP53INP2	55.18	178	143
ENSG00000078808	protein_coding	SDF4	61.39	615	402
ENSG00000078902	protein_coding	TOLLIP	57.49	307	235
ENSG00000079102	protein_coding	RUNX1T1	38.11	172	82
ENSG00000079313	protein_coding	REXO1	60.94	155	130
ENSG00000079332	protein_coding	SAR1A	40.56	345	273
ENSG00000079785	protein_coding	DDX1	39.49	285	227
ENSG00000079841	protein_coding	RIMS1	35.57	340	260
ENSG00000079950	protein_coding	STX7	37.41	475	316
ENSG00000079999	protein_coding	KEAP1	54.06	213	172
ENSG00000080503	protein_coding	SMARCA2	40.37	588	380
ENSG00000080608	protein_coding	PUM3	39.59	43	39
ENSG00000080802	protein_coding	CNOT4	37.19	327	227
ENSG00000080819	protein_coding	CPOX	40.35	317	183
ENSG00000080822	protein_coding	CLDND1	38.91	512	327
ENSG00000080824	protein_coding	HSP90AA1	47.25	2074	656
ENSG00000080845	protein_coding	DLGAP4	51.09	333	243
ENSG00000081154	protein_coding	PCNP	39.69	324	241
ENSG00000081189	protein_coding	MEF2C	36.05	1257	516
ENSG00000081307	protein_coding	UBA5	36.76	228	178
ENSG00000081721	protein_coding	DUSP12	39.87	84	55
ENSG00000082014	protein_coding	SMARCD3	56.14	221	157
ENSG00000082153	protein_coding	BZW1	41.12	351	265
ENSG00000082258	protein_coding	CCNT2	37.48	675	434
ENSG00000082293	protein_coding	COL19A1	36.54	226	121
ENSG00000082397	protein_coding	EPB41L3	39.83	407	239
ENSG00000082482	protein_coding	KCNK2	36.37	179	132
ENSG00000082641	protein_coding	NFE2L1	54.26	640	384
ENSG00000082701	protein_coding	GSK3B	37.15	1386	567
ENSG00000082805	protein_coding	ERC1	39.35	137	122
ENSG00000082898	protein_coding	XPO1	40.9	24	21
ENSG00000082996	protein_coding	RNF13	36.39	507	249
ENSG00000083099	protein_coding	LYRM2	44.37	167	135
ENSG00000083642	protein_coding	PDS5B	36.61	194	155
ENSG00000083720	protein_coding	OXCT1	37.45	937	488
ENSG00000083845	protein_coding	RPS5	51.15	3803	791
ENSG00000083896	protein_coding	YTHDC1	35.4	287	217
ENSG00000084070	protein_coding	SMAP2	41.95	244	194
ENSG00000084234	protein_coding	APLP2	43.97	1429	626
ENSG00000084444	protein_coding	FAM234B	43.2	228	179
ENSG00000084463	protein_coding	WBP11	37.11	386	293
ENSG00000084623	protein_coding	EIF3I	50.5	494	343
ENSG00000084676	protein_coding	NCOA1	37.1	426	296
ENSG00000084731	protein_coding	KIF3C	48.25	326	237
ENSG00000084733	protein_coding	RAB10	40.63	322	250
ENSG00000084764	protein_coding	MAPRE3	45.88	492	340
ENSG00000085117	protein_coding	CD82	53.56	141	82
ENSG00000085224	protein_coding	ATRX	37.72	378	272
ENSG00000085231	protein_coding	AK6	41.64	205	168
ENSG00000085365	protein_coding	SCAMP1	37.55	552	358
ENSG00000085433	protein_coding	WDR47	41.17	239	193
ENSG00000085449	protein_coding	WDFY1	42.71	218	175
ENSG00000085733	protein_coding	CTTN	52.81	210	181
ENSG00000085832	protein_coding	EPS15	38.04	291	205
ENSG00000086015	protein_coding	MAST2	41.32	155	124
ENSG00000086061	protein_coding	DNAJA1	41.08	606	378
ENSG00000086065	protein_coding	CHMP5	41.65	406	292
ENSG00000086289	protein_coding	EPDR1	38.37	159	110
ENSG00000086300	protein_coding	SNX10	42.66	500	315
ENSG00000086504	protein_coding	MRPL28	62.21	707	421
ENSG00000086666	protein_coding	ZFAND6	38.17	186	154
ENSG00000086758	protein_coding	HUWE1	41.2	239	193
ENSG00000087085	protein_coding	ACHE	64.49	317	206
ENSG00000087088	protein_coding	BAX	53.57	756	463
ENSG00000087111	protein_coding	PIGS	47.26	146	108
ENSG00000087152	protein_coding	ATXN7L3	59.15	339	259
ENSG00000087157	protein_coding	PGS1	52.04	243	206
ENSG00000087191	protein_coding	PSMC5	50.95	1156	520
ENSG00000087258	protein_coding	GNAO1	49.46	1404	546
ENSG00000087263	protein_coding	OGFOD1	40.36	128	109
ENSG00000087274	protein_coding	ADD1	44.84	418	293
ENSG00000087365	protein_coding	SF3B2	48.41	494	328
ENSG00000087460	protein_coding	GNAS	47.09	4160	812
ENSG00000087470	protein_coding	DNM1L	38.21	486	314
ENSG00000087495	protein_coding	PHACTR3	47.63	275	215
ENSG00000087502	protein_coding	ERGIC2	34.04	364	287
ENSG00000087884	protein_coding	AAMDC	41.82	421	317
ENSG00000088179	protein_coding	PTPN4	36.97	174	136
ENSG00000088256	protein_coding	GNA11	61.68	293	226
ENSG00000088356	protein_coding	PDRG1	49.33	190	164
ENSG00000088367	protein_coding	EPB41L1	49.98	652	385
ENSG00000088538	protein_coding	DOCK3	40.17	385	302
ENSG00000088812	protein_coding	ATRN	40.35	436	304
ENSG00000088832	protein_coding	FKBP1A	45.47	2577	702
ENSG00000088833	protein_coding	NSFL1C	45.86	385	265
ENSG00000088854	protein_coding	C20orf194	43.79	304	229
ENSG00000088986	protein_coding	DYNLL1	47.04	2509	651
ENSG00000089006	protein_coding	SNX5	42.13	229	189
ENSG00000089048	protein_coding	ESF1	37.97	235	204
ENSG00000089053	protein_coding	ANAPC5	44.55	434	328
ENSG00000089057	protein_coding	SLC23A2	44.93	204	167
ENSG00000089063	protein_coding	TMEM230	44.98	254	182
ENSG00000089091	protein_coding	DZANK1	41.71	238	168
ENSG00000089157	protein_coding	RPLP0	48.95	1528	611
ENSG00000089169	protein_coding	RPH3A	43.79	877	448
ENSG00000089199	protein_coding	CHGB	42.65	734	386
ENSG00000089220	protein_coding	PEBP1	48.71	1861	600
ENSG00000089234	protein_coding	BRAP	44.39	159	122
ENSG00000089248	protein_coding	ERP29	47.17	633	406
ENSG00000089250	protein_coding	NOS1	47.35	191	148
ENSG00000089289	protein_coding	IGBP1	42.89	159	129
ENSG00000089693	protein_coding	MLF2	52.27	1697	654
ENSG00000089818	protein_coding	NECAP1	41.12	556	351
ENSG00000089847	protein_coding	ANKRD24	53.6	253	212
ENSG00000090060	protein_coding	PAPOLA	36.57	329	259
ENSG00000090097	protein_coding	PCBP4	58.75	490	334
ENSG00000090104	protein_coding	RGS1	33.81	86	30
ENSG00000090238	protein_coding	YPEL3	58.41	3887	759
ENSG00000090263	protein_coding	MRPS33	41.83	319	248
ENSG00000090266	protein_coding	NDUFB2	43.57	2353	641
ENSG00000090273	protein_coding	NUDC	48.43	815	456
ENSG00000090316	protein_coding	MAEA	55.01	150	131
ENSG00000090372	protein_coding	STRN4	57.35	315	258
ENSG00000090520	protein_coding	DNAJB11	40.07	249	211
ENSG00000090581	protein_coding	GNPTG	56.47	269	217
ENSG00000090661	protein_coding	CERS4	52.88	371	257
ENSG00000090861	protein_coding	AARS	49.47	502	360
ENSG00000090863	protein_coding	GLG1	42.38	440	301
ENSG00000090905	protein_coding	TNRC6A	42.59	397	285
ENSG00000090971	protein_coding	NAT14	65.69	388	287
ENSG00000091009	protein_coding	RBM27	38.67	190	138
ENSG00000091039	protein_coding	OSBPL8	36.48	255	203
ENSG00000091129	protein_coding	NRCAM	39	181	134
ENSG00000091157	protein_coding	WDR7	36.37	177	144
ENSG00000091164	protein_coding	TXNL1	38.58	254	181
ENSG00000091428	protein_coding	RAPGEF4	40.56	542	346
ENSG00000091513	protein_coding	TF	43.58	1159	170
ENSG00000091640	protein_coding	SPAG7	51.59	269	221
ENSG00000091844	protein_coding	RGS17	37.44	676	310
ENSG00000091972	protein_coding	CD200	38.61	333	241
ENSG00000092010	protein_coding	PSME1	57.43	205	160
ENSG00000092051	protein_coding	JPH4	56.68	429	285
ENSG00000092096	protein_coding	SLC22A17	57.86	1249	550
